fastq-file/sample name,PPIB,Ngene,Egene,RdRP,Sgene.RBD,Sgene.Poly,mapping%
W609_HEK293T-rep1,49152,0,1,1,3,2,90.85
W621_HEK293T-rep2,55368,5,0,2,2,0,96.94
W633_LTRI-20,23254,3,0,2,1,0,74.53
W645_LTRI-13,7400,1,0,0,1,1,77.05
W657_LTRI-35,11530,24023,3082,9911,15318,19653,98.47
W669_LTRI-36,11876,16764,1670,5815,8680,12000,98.36
W586_LTRI-32,49078,1752,146,222,1844,2198,97.57
W598_LTRI-28,5296,18336,3057,5551,6508,9692,90.48
W610_LTRI-27,0,8258,156,1392,4666,6028,96.22
W622_LTRI-33,24556,7527,502,1230,3654,1032,97.71
W634_LTRI-21,38302,7424,246,900,2002,4078,96.76
W646_LTRI-22,906,34718,3520,9420,14792,22242,97.48
W658_LTRI-34,1621,27632,3038,7954,13114,18448,98.09
W670_LTRI-24,2158,19434,2070,5063,9800,13128,98.35
W587_LTRI-26,279,31589,3312,8568,15040,22452,98.61
W599_LTRI-29,134,31968,4871,11048,15924,25968,98.52
W611_LTRI-30,507,27292,3476,9857,14336,20062,98.45
W623_LTRI-23,264,19518,3022,5348,11004,15160,98.48
W635_LTRI-31,20,17220,4682,8928,14429,19388,98.49
W647_LTRI-25,24,16955,5802,12460,15156,20241,98.52
W659_LTRI-18,3186,12088,3084,6093,8923,11260,98.25
W671_Twist2:-dil1,3,15862,4494,9988,14120,18706,97.43
W588_Twist2-dil2,1,14780,2266,6610,9346,14248,97.2
W600_Twist2-dil3,2,11194,4024,7262,8932,10612,96.77
W612_Twist2-dil4,1,9354,830,2240,5562,10107,93.83
W624_Twist2-dil5,0,0,202,0,797,4300,49.6